region,city,date,organizer,topic,participants_registered,participants_actual
Baden-Württemberg,Karlsruhe,2022-04-04,,"Für eine freie Impfentscheidung, Frieden, Freiheit und Selbstbestimmung. Wir fordern die sofortige Beendigung aller Corona-Maßnahmen",750.0,
Baden-Württemberg,Karlsruhe,2022-04-04,,"Montagsdemo gegen HartzIV und Sozialabbau, Aktiver Widerstand für den Weltfrieden! Gegen jede imperialistische Aggression  und Krieg, egal ob von Russland oder USA/Nato!",50.0,
Baden-Württemberg,Karlsruhe,2022-04-05,,"Frieden, Freiheit, Souveränität! Gegen Impfzwang und Impfpflicht!",50.0,
Baden-Württemberg,Karlsruhe,2022-04-05,,"Stille Mahnwache für Frieden, Demokratie und Menschenrechte",8.0,
Baden-Württemberg,Karlsruhe,2022-04-06,,"""Solidarität mit der Ukraine. Andenken an die Kriegsopfer in Ukraine. #StandWithUkraine"".",100.0,
Baden-Württemberg,Karlsruhe,2022-04-07,,Maskenfreie Feststellung,47.0,
Baden-Württemberg,Karlsruhe,2022-04-09,,Mache dich auf und werde nicht,5.0,
Baden-Württemberg,Karlsruhe,2022-04-09,,Freiheit-Religion,6.0,
Baden-Württemberg,Karlsruhe,2022-04-09,,Weltfrieden durch die Heiligen Namen,30.0,
Baden-Württemberg,Karlsruhe,2022-04-09,,"Demokratische Streitkultur, Pressefreiheit und Frieden",300.0,
Baden-Württemberg,Karlsruhe,2022-04-10,,Solidarität mit der Ukraine. Andenken an die Kriegsopfer in Ukraine,100.0,
Baden-Württemberg,Karlsruhe,2022-04-11,,"Für Frieden, Freiheit und Selbstbestimmung; Einen offenen und respektvollen Diskurs; Bewahrung von Grund- und Menschenrechten",750.0,
Baden-Württemberg,Karlsruhe,2022-04-13,,Gegen Krieg und Wirtschaftskrieg - Für ein solidarisches Miteinander,200.0,
Baden-Württemberg,Karlsruhe,2022-04-14,,Maskenfreie Feststellung,47.0,
